id,presupuesto (US$),tipo,fecha,ONG,proyecto
1,722591,marcha,1998-06-29,Mertz Group,Haldeman - Sagasca
2,398534,redes sociales,1988-10-17,"Hayes, Huel And Keebler",Linderos
3,111935,redes sociales,2000-08-20,Auer-Ryan,Julia
4,341570,marcha,2017-07-25,Swaniawski-Sawayn,Nuveen AMT-Free Municipal Value Fund
5,873203,redes sociales,2018-01-08,Predovic Inc,Mantos Blancos
6,884800,marcha,2014-04-10,Mckenzie Inc,"Midland States Bancorp, Inc."
7,766213,redes sociales,2017-11-21,Bernier-Stokes,Inacesa - El Way
8,670439,marcha,2012-01-30,"Gerlach, Fritsch And Rippin",Ceragon Networks Ltd.
9,759108,redes sociales,2016-10-27,Hills-Quitzon,Hamilton Lane Incorporated
10,469232,redes sociales,2016-03-28,Murazik ,"Ellie Mae, Inc."
11,189484,redes sociales,1998-09-13,"Pfannerstill, Powlowski And Kreiger","Western Refining Logistics, LP"
12,596878,marcha,2009-12-23,"Hayes, Goodwin And Feil",BlackRock Municipal Target Term Trust Inc. (The)
13,99184,marcha,2017-12-08,Lueilwitz-Runolfsdottir,Ceragon Networks Ltd.
14,517273,redes sociales,1996-05-11,Cronin Inc,Garrison Capital Inc.
15,740,marcha,2014-03-23,"Turcotte, Stark And Hauck","PDF Solutions, Inc."
16,399825,redes sociales,2013-10-10,"Stokes, Kilback And Boyle",El Salvador
17,823997,marcha,1999-02-26,Ledner-Hoppe,"German American Bancorp, Inc."
18,8854,marcha,2013-09-09,D'Amore And Sons,Carola
19,602303,redes sociales,1975-07-31,Ebert-Pollich,Central Garden & Pet Company
20,640226,redes sociales,2003-03-23,Hahn-Rohan,"SeaChange International, Inc."
21,282665,marcha,1996-12-19,Afs Intercultura,"Cogentix Medical, Inc."
22,868568,redes sociales,2018-05-19,"Doyle, Mccullough And Friesen","Forterra, Inc."
23,659490,redes sociales,1988-04-13,Ritchie And Sons,El Guindo
24,310412,marcha,1962-04-18,"Jacobson, Boyer And Gleichner",The9 Limited
25,509581,redes sociales,2006-09-07,Cronin Inc,Linderos
26,304386,redes sociales,1990-12-19,"Botsford, Wuckert And Volkman",Imax Corporation
27,556451,marcha,1991-10-27,Runolfsson-Morar,Caupolicán
28,571301,marcha,1993-10-15,Little-Murazik,Peckett
29,393361,redes sociales,2008-10-02,"Schiller, Ullrich And Willms",Lota
30,709695,marcha,2007-05-29,Bechtelar-Wuckert,PowerShares BuyBack Achievers Portfolio
31,306076,redes sociales,2016-12-01,Weissnat-Bergstrom,CMP - Los Colorados
32,833981,redes sociales,1982-10-01,Ritchie-Rath,"PrivateBancorp, Inc."
33,606032,redes sociales,1989-12-17,Koch ,El Teniente
34,792841,marcha,2006-09-20,Hagenes-Gutmann,Dorado
35,314730,redes sociales,2004-02-26,"Kutch, Cremin And Mcclure",Michilla
36,279868,marcha,2000-11-05,Corkery ,"OraSure Technologies, Inc."
37,67184,redes sociales,1975-07-29,"Ferry, Stroman And Veum",Manto Verde
38,193123,marcha,1990-10-03,Reichert And Sons,Northrop Grumman Corporation
39,95833,marcha,2012-04-27,Feil-Reilly,"Biocept, Inc."
40,545932,marcha,2002-05-05,Klocko Group,Esterline Technologies Corporation
41,768731,redes sociales,1978-05-10,"Becker, Deckow And O'Keefe",Westpac Banking Corporation
42,816121,redes sociales,2005-12-05,"Lubowitz, Weimann And Lemke",Mackinac Financial Corporation
43,29592,marcha,2004-05-14,Daniel Inc,Mantos de la Luna
44,651841,redes sociales,1979-09-02,Macejkovic-Haag,Lambert
45,360797,redes sociales,2005-06-07,Sanford ,"Shutterstock, Inc."
46,31189,marcha,2016-04-01,"Wolff, Russel And Ankunding","Pepsico, Inc."
47,320282,marcha,1978-02-28,"Kling, Effertz And Anderson",Andacollo Cobre
48,509119,marcha,2019-04-06,Wisoky ,Dollar General Corporation
49,121538,redes sociales,1993-01-23,"Jacobi, Spencer And Mayer",Pupunahue
50,581597,redes sociales,2013-08-14,Barrows Group,"Midland States Bancorp, Inc."
51,553740,marcha,2005-03-11,Lubowitz Group,ACF - Lagunas
52,343376,redes sociales,2002-08-04,Hudson-Mayer,First Trust Senior Loan Fund ETF
53,388677,redes sociales,1981-02-16,Cassin-Mayer,"Financial Engines, Inc."
54,635227,marcha,2010-12-23,Thiel And Sons,Andacollo Oro
55,944959,redes sociales,1965-05-30,Bins-Goldner,Andacollo Cobre
56,521976,redes sociales,2019-08-10,"Cremin, Klocko And Thiel",Marine Petroleum Trust
57,140984,marcha,1962-10-01,Bartoletti-Kunde,Fertón
58,904402,redes sociales,2017-11-22,Lakin-Bruen,Natl Westminster Pfd
59,732792,redes sociales,1987-02-18,Hahn-Rohan,Cerro Casale
60,464454,marcha,2006-12-16,"Torphy, Adams And Walter",El Teniente
61,414098,redes sociales,1986-03-21,Koelpin Group,China Cord Blood Corporation
62,518260,redes sociales,2003-01-08,"Herman, Luettgen And Balistreri",Fertón
63,220849,marcha,1987-10-11,Bosco-Kiehn,Biglari Holdings Inc.
64,534352,marcha,2014-03-01,Abbott ,B.O.S. Better Online Solutions
65,23681,marcha,2010-07-13,"Weissnat, Jaskolski And Bins",Elenita
66,952769,marcha,1979-12-11,Lind-Schuppe,Quiborax
67,230996,marcha,2019-07-20,Marvin-Wolff,Tranquilo
68,58681,marcha,2003-02-22,Jacobi-Bergnaum,"Mid-America Apartment Communities, Inc."
69,703347,redes sociales,2000-02-21,Watsica-Morissette,Elkhorn Commodity Rotation Strategy ETF
70,363980,redes sociales,1987-05-20,"Feil, Lehner And Krajcik",SQM - María Elena
71,576273,marcha,2006-09-03,Gulgowski-Spinka,Eagle Bulk Shipping Inc.
72,362094,redes sociales,2017-06-02,O'Hara ,Galectin Therapeutics Inc.
73,213944,marcha,2017-12-10,"Moen, Koss And Paucek",Novanta Inc.
74,50582,redes sociales,1993-07-12,Medhurst-Jones,"Ulta Beauty, Inc."
75,229747,marcha,2003-10-16,"Schmidt, Reinger And Zulauf","First Financial Bankshares, Inc."
76,43712,marcha,2013-12-22,Shields-Kuhlman,Refugio
77,330413,marcha,1992-11-16,Rath Inc,El Tesoro
78,701023,marcha,1983-09-10,Gutkowski Group,The Community Financial Corporation
79,144053,redes sociales,2004-01-31,Bradtke-Walsh,"Sierra Oncology, Inc."
80,290586,marcha,2013-12-01,"Rice, Daniel And Klocko",Dollar General Corporation
81,429014,marcha,2011-06-04,"Harvey, Heathcote And Legros",BlackRock Municipal Target Term Trust Inc. (The)
82,13307,redes sociales,1991-04-09,"Baumbach, Reinger And Jaskolski",China Cord Blood Corporation
83,871549,marcha,2007-10-04,"Schmidt, Ryan And Jacobson",Check-Cap Ltd.
84,650837,marcha,2008-01-09,"Nolan, Reynolds And Waters",Cohen & Steers Reit and Preferred Income Fund Inc
85,129633,marcha,2004-10-12,Hagenes-Gutmann,"Investors Bancorp, Inc."
86,913644,marcha,1983-03-09,Conn-Jones,Bronce de Petorca
87,824500,marcha,1988-04-21,Erdman-Block,"Financial Engines, Inc."
88,485874,redes sociales,2019-02-23,Dooley-Runolfsson,"Diamond Hill Investment Group, Inc."
89,316083,marcha,2013-09-04,Carroll-Moen,Marte Lobo
90,621667,marcha,2009-10-20,África Esperanza,BLDRS Developed Markets 100 ADR Index Fund
91,680100,marcha,1955-12-03,Corkery-Halvorson,ENGlobal Corporation
92,499625,marcha,2019-05-24,Feil-Nikolaus,"Silicon Laboratories, Inc."
93,528193,redes sociales,2003-02-03,Deckow-Nikolaus,Ojos del Salado
94,655932,redes sociales,2016-10-31,Goldner-Klocko,Cosayach - Cala Cala
95,340801,marcha,1997-06-21,Gottlieb Inc,Spence
96,140402,marcha,1986-09-19,"Reinger, Keeling And Nienow",Janus Henderson Small Cap Growth Alpha ETF
97,729922,redes sociales,1982-06-04,Moore-Reilly,Sierra Miranda
98,408874,redes sociales,2017-04-14,Gottlieb ,Ojos del Salado
99,479774,marcha,2009-11-04,Price Inc,III de Atacama Minerals - Aguas Blancas
100,767382,redes sociales,2015-06-07,Hauck-Lind,Candelaria
101,878522,redes sociales,1994-01-12,Klocko Group,La Perla
102,151098,redes sociales,1990-12-02,Adecoi,BlackRock Municipal Target Term Trust Inc. (The)
103,794978,marcha,2003-05-31,Reichert And Sons,SQM - Nueva Victoria
104,760757,marcha,2012-05-06,King ,Las Cenizas
105,26292,marcha,2004-05-15,Haag-Stoltenberg,El Guindo
106,415951,marcha,1971-11-09,Schroeder-Hamill,"Texas Capital Bancshares, Inc."
107,541528,redes sociales,2019-07-30,Goldner-Klocko,Cerro Bayo
108,637789,redes sociales,2019-07-14,Abbott ,"Silicon Laboratories, Inc."
109,556313,marcha,2009-12-13,Gottlieb ,"Urban One, Inc. "
110,817200,marcha,2008-02-01,Jenkins-Ward,"Appliance Recycling Centers of America, Inc."
111,831046,marcha,1960-05-13,"Friesen, Friesen And Hodkiewicz",III de Atacama Kozan
112,407202,redes sociales,2018-07-22,Yost Inc,Container Store (The)
113,104063,marcha,1992-02-05,"Ratke, Connelly And Ward",Cóndor
114,693014,redes sociales,2014-07-25,Sanford ,Enel Generacion Chile S.A.
115,782573,marcha,1997-08-14,"Turner, Medhurst And Carroll",La Patagua
116,467288,marcha,1983-09-23,"Fisher, Cummings And Rowe",Quiborax
117,898401,redes sociales,1993-10-16,"Mckenzie, Paucek And Jaskolski",Caleta El Cobre
118,455722,marcha,2005-11-02,Ferry-Schuppe,"Blackhawk Network Holdings, Inc."
119,187199,redes sociales,2014-10-28,Kovacek-Swift,L.B. Foster Company
120,315821,redes sociales,2018-12-13,"Lang, Kohler And Dietrich",West Corporation
121,604087,redes sociales,2015-06-06,Keeling Group,Victoria
122,215004,marcha,2016-01-22,Bahringer-Lehner,Neff Corporation
123,353671,redes sociales,2018-08-25,"Cassin, Grant And Pfannerstill",Brookfield Global Listed Infrastructure Income Fund
124,798049,marcha,2005-12-27,Osinski-Zemlak,Unisys Corporation
125,315113,marcha,2005-06-24,Carroll-Mcclure,Western Alliance Bancorporation
126,515177,redes sociales,2011-01-14,O'Conner And Sons,Eaton Vance Corporation
127,146985,marcha,1988-08-28,Lind-Schuppe,"Appliance Recycling Centers of America, Inc."
128,30870,marcha,1983-03-27,Kuhlman-Bernhard,"Edge Therapeutics, Inc."
