número,fecha_dictamen
75773-26740-LB,2008-11-29
34339-73469-DD,2015-05-14
54011-96023-OK,2011-01-22
2244-72747-GF,2016-03-31
17957-30003-BH,2018-11-26
2504-44007-AF,2005-10-06
33320-81227-MN,2016-08-08
62440-59688-NJ,2018-02-03
68967-37715-HF,2017-05-01
38180-81955-HN,2009-08-07
63660-87622-GK,1992-09-04
63474-79491-NL,2013-12-12
68274-28037-DB,2019-03-09
21666-4918-LM,2016-08-23
22045-72513-HE,2012-06-14
75254-18562-BG,2017-12-09
2063-7789-BO,2016-10-13
52333-84416-IN,2018-10-05
12535-65611-EJ,2002-09-22
50401-33014-MH,2013-11-03
82881-34480-EO,2004-08-09
11817-9928-JE,2012-05-28
61746-68518-BJ,2017-12-05
43657-42960-IA,2019-03-13
95243-20001-GH,2015-04-04
29968-9653-BF,2016-04-16
21783-68052-KN,2015-08-11
86130-28257-LF,2017-09-21
28723-63556-FF,2018-12-07
50919-91480-IB,1989-06-20
34895-60990-HB,1992-05-19
93654-84379-HB,2019-01-04
45508-69257-DF,2014-11-09
79471-48968-ND,2007-01-16
33283-88636-LE,2002-10-25
26813-55880-DM,2019-06-13
5183-96112-KG,2018-09-13
7010-70680-FA,2014-10-06
76528-76227-MG,2008-12-22
89919-27603-MB,2018-03-20
62543-40284-BD,2008-12-25
26814-5298-OG,2019-03-21
65336-66323-EG,2014-04-27
52920-15732-BN,2013-04-19
52585-5864-NH,2018-02-13
90536-26795-IB,2019-07-05
39666-22807-DD,2017-04-14
99064-65353-KE,2005-08-02
1170-92553-IG,1985-07-16
54809-98309-LJ,2019-07-07
6667-24651-BA,2016-09-19
46794-50871-AM,2017-07-18
81562-88231-NG,1989-10-21
70940-430-BI,1995-10-06
90711-94912-BI,2019-08-10
26406-19514-LB,2016-09-09
48926-92957-FH,2016-02-22
20966-2287-GN,2006-11-03
23725-83303-FI,1998-12-05
8987-8726-FE,2013-12-04
84716-95928-KB,2018-09-06
60301-70021-OB,2001-08-01
51770-46932-EK,2017-09-02
17540-59554-MM,2013-06-20
70317-1761-FJ,2012-05-21
42348-65185-JM,2017-02-04
6084-94035-EK,2013-12-20
84505-25280-OE,2011-04-13
80263-91423-JK,1995-10-04
59400-50499-AL,2012-12-25
35920-79778-IJ,1999-04-15
6950-31233-BM,2012-02-19
23974-56394-KG,2016-06-29
74438-67958-OM,2011-05-11
75740-71991-BI,2011-12-01
36229-99833-LA,2005-02-25
48173-64138-BI,2018-10-20
84593-9887-DF,2011-11-18
88112-12976-BF,2016-10-13
67378-80654-OO,2018-08-23
51931-4621-AL,1999-11-10
19015-83580-IH,2015-09-14
39136-17233-HN,2007-04-26
24664-97780-FO,2019-08-26
73886-44546-MF,2004-08-10
97192-64062-AO,2010-09-02
15045-27259-FJ,2017-10-26
2822-26741-BG,2013-04-24
74086-28599-NL,2014-09-24
87206-56691-GM,2013-02-05
27527-47716-IK,1998-05-18
44493-60653-BO,1985-01-19
65366-46587-EL,2017-08-20
87180-19666-IF,2019-08-10
72733-88690-FH,2017-09-17
33426-96929-BL,2011-01-30
74539-38234-JK,2014-07-10
42300-42306-GD,2009-03-11
99914-80641-FK,2002-03-13
84184-36811-OM,2017-06-05
93640-42901-JL,2014-03-30
23813-70951-DA,2018-04-06
13715-63027-LB,2019-08-09
64706-42638-JA,1998-02-21
40424-47863-HD,2019-03-04
35774-44847-IM,1995-10-01
4395-52016-DM,2011-06-29
49811-4830-BB,2018-04-01
84778-14286-BI,2002-08-02
