id,tipo_contenido,duración (días)
2,spam,11
3,video,23
5,video,3
7,spam,38
9,spam,76
10,audio,6
11,imagenes,65
14,spam,55
16,spam,23
19,spam,20
20,audio,14
22,spam,60
23,spam,83
25,spam,70
26,imagenes,2
29,audio,19
31,audio,63
32,imagenes,75
33,spam,88
35,imagenes,16
37,video,78
41,video,10
42,spam,8
44,video,36
45,imagenes,66
49,video,11
50,video,75
52,spam,57
53,imagenes,23
55,video,89
56,audio,30
58,imagenes,76
59,audio,84
61,imagenes,22
62,imagenes,13
69,imagenes,19
70,video,76
72,imagenes,2
74,video,81
79,video,41
82,imagenes,62
88,imagenes,51
93,spam,72
94,video,47
97,audio,89
98,video,14
100,imagenes,69
101,video,18
102,spam,76
107,spam,30
108,video,87
112,imagenes,51
114,video,82
117,video,6
119,video,11
120,spam,21
121,audio,10
123,spam,79
126,audio,16
134,video,84
136,video,13
137,audio,51
139,imagenes,21
140,video,81
143,video,6
145,video,60
150,spam,17
151,audio,70
154,audio,24
157,spam,68
159,spam,71
160,imagenes,81
165,video,54
168,audio,82
170,video,10
172,audio,13
173,audio,14
174,imagenes,70
176,video,39
177,audio,1
180,video,82
182,audio,34
184,spam,62
186,audio,7
190,spam,13
192,audio,34
193,spam,56
195,imagenes,34
196,spam,53
198,audio,38
199,video,71
200,video,78
201,video,17
202,audio,82
203,video,65
204,video,31
206,video,47
207,audio,88
208,spam,59
210,spam,32
212,imagenes,10
214,imagenes,36
215,spam,69
219,imagenes,86
221,spam,41
222,audio,27
224,video,21
226,video,71
228,imagenes,88
234,imagenes,75
236,imagenes,31
237,video,62
238,video,19
239,spam,80
240,video,76
243,spam,34
245,spam,1
246,audio,20
248,video,9
249,imagenes,54
255,audio,8
256,spam,4
257,video,64
262,audio,37
263,spam,35
264,video,42
267,audio,47
268,imagenes,3
271,spam,87
273,video,89
276,video,68
277,imagenes,53
279,video,84
283,audio,78
284,video,17
287,imagenes,6
288,imagenes,9
290,spam,41
293,spam,29
294,audio,44
295,imagenes,47
296,audio,27
297,video,34
298,audio,1
299,video,14
300,video,74
301,imagenes,73
307,spam,20
310,audio,65
311,audio,65
312,imagenes,12
315,spam,24
316,audio,59
318,imagenes,67
319,spam,40
320,video,47
322,audio,20
323,video,39
325,video,7
326,audio,60
327,video,69
329,video,68
330,spam,80
331,spam,86
334,imagenes,10
335,video,4
336,spam,3
338,imagenes,26
340,audio,52
341,audio,68
343,video,38
346,imagenes,7
347,imagenes,31
349,video,52
350,spam,56
351,audio,84
354,video,14
356,imagenes,64
358,video,51
360,video,61
362,video,15
364,video,15
366,spam,86
369,video,17
373,imagenes,10
374,imagenes,73
375,spam,71
381,audio,24
386,spam,39
390,imagenes,15
391,imagenes,20
393,video,26
396,spam,25
397,spam,48
402,spam,56
403,spam,29
405,spam,11
406,audio,12
407,video,49
410,imagenes,87
413,audio,11
414,audio,66
417,spam,54
418,audio,68
419,video,9
421,spam,34
422,video,50
423,audio,77
425,imagenes,9
426,video,6
428,video,34
430,imagenes,2
436,imagenes,62
437,imagenes,87
443,imagenes,35
444,spam,33
448,video,32
449,video,84
451,imagenes,50
456,imagenes,51
459,spam,72
460,video,20
461,imagenes,18
469,spam,21
472,imagenes,34
474,audio,23
477,video,70
478,imagenes,17
479,spam,6
486,audio,3
488,audio,32
489,imagenes,2
491,spam,88
492,video,12
494,imagenes,26
495,imagenes,70
499,spam,62
500,video,41
503,video,62
504,spam,2
505,imagenes,74
506,video,75
507,imagenes,82
508,spam,34
509,audio,45
510,spam,56
511,video,52
512,spam,73
513,imagenes,86
515,imagenes,52
517,spam,55
522,video,32
524,imagenes,48
525,imagenes,19
526,video,54
528,spam,69
530,spam,4
531,spam,59
532,audio,26
534,spam,77
535,spam,56
540,imagenes,37
541,audio,36
542,audio,58
546,imagenes,66
547,video,25
548,audio,18
549,spam,26
553,imagenes,84
555,audio,22
556,audio,28
557,video,60
558,video,56
559,imagenes,1
560,spam,58
564,audio,82
565,video,28
566,audio,52
567,audio,12
572,audio,86
573,imagenes,14
574,audio,63
578,audio,40
579,audio,66
581,spam,68
582,imagenes,5
584,audio,66
585,audio,89
586,spam,28
589,audio,47
593,video,69
596,imagenes,7
597,spam,71
600,audio,10
603,spam,3
606,spam,85
607,imagenes,27
609,audio,12
610,spam,78
612,imagenes,68
613,spam,23
616,spam,36
617,video,11
618,spam,36
620,spam,88
623,imagenes,75
624,spam,51
625,audio,55
626,audio,76
627,audio,45
628,video,68
629,spam,24
632,spam,43
636,spam,63
637,video,14
638,spam,55
639,imagenes,23
644,video,17
647,imagenes,64
648,imagenes,41
649,imagenes,2
652,spam,81
653,video,14
654,imagenes,10
658,imagenes,69
659,audio,31
661,imagenes,45
663,audio,65
666,audio,82
667,audio,86
668,audio,44
670,spam,31
672,audio,81
673,video,13
674,audio,26
676,video,22
677,spam,6
680,imagenes,28
682,spam,67
683,audio,1
684,spam,82
685,imagenes,76
686,spam,40
687,video,7
689,spam,29
690,spam,52
695,audio,49
696,audio,87
699,audio,43
703,audio,81
704,spam,65
705,video,8
706,video,85
707,imagenes,82
709,audio,25
710,audio,46
711,spam,76
712,audio,57
713,audio,50
714,audio,57
719,video,80
723,spam,73
724,imagenes,70
725,spam,76
726,audio,74
727,spam,59
728,video,17
729,spam,73
730,imagenes,22
731,imagenes,54
734,audio,34
738,spam,19
739,audio,78
740,imagenes,55
742,audio,29
744,imagenes,39
746,audio,46
747,audio,42
748,imagenes,53
755,imagenes,66
756,video,66
758,video,22
